Time,Voltage1
0.0,662.38
2.01,626.38
4.02,662.13
6.03,669.25
8.05,627.25
10.06,655.38
12.07,676.13
14.08,633.88
16.09,643.75
18.1,678.13
20.12,642.13
22.13,634.63
24.14,676.63
26.15,648.88
28.16,628.88
30.17,674.0
32.19,653.13
34.2,628.63
36.21,673.25
38.22,650.13
40.23,628.88
42.24,675.63
44.25,647.88
46.27,630.88
48.28,677.25
50.29,646.0
52.3,632.88
54.31,677.63
56.32,645.13
58.34,632.0
60.35,676.75
62.36,650.13
64.37,627.5
66.38,670.0
68.39,666.25
70.41,627.0
72.42,649.0
74.43,678.25
76.44,644.63
78.45,628.38
80.46,669.88
82.47,665.0
84.49,626.5
86.5,653.13
88.51,677.63
90.52,638.75
92.53,634.25
94.54,674.5
96.56,656.63
98.57,626.5
100.58,662.13
102.59,673.38
104.6,634.25
106.61,638.5
108.63,675.63
110.64,654.5
112.65,626.63
114.66,661.0
116.67,674.88
118.68,633.38
